date,unemployment login,isPartial
2014-01-05,61,False
2014-01-12,53,False
2014-01-19,58,False
2014-01-26,52,False
2014-02-02,46,False
2014-02-09,34,False
2014-02-16,30,False
2014-02-23,30,False
2014-03-02,29,False
2014-03-09,33,False
2014-03-16,30,False
2014-03-23,28,False
2014-03-30,31,False
2014-04-06,28,False
2014-04-13,28,False
2014-04-20,24,False
2014-04-27,27,False
2014-05-04,25,False
2014-05-11,24,False
2014-05-18,25,False
2014-05-25,25,False
2014-06-01,22,False
2014-06-08,21,False
2014-06-15,23,False
2014-06-22,22,False
2014-06-29,24,False
2014-07-06,21,False
2014-07-13,25,False
2014-07-20,26,False
2014-07-27,22,False
2014-08-03,23,False
2014-08-10,20,False
2014-08-17,18,False
2014-08-24,20,False
2014-08-31,18,False
2014-09-07,19,False
2014-09-14,20,False
2014-09-21,22,False
2014-09-28,20,False
2014-10-05,19,False
2014-10-12,23,False
2014-10-19,17,False
2014-10-26,21,False
2014-11-02,16,False
2014-11-09,19,False
2014-11-16,18,False
2014-11-23,15,False
2014-11-30,21,False
2014-12-07,19,False
2014-12-14,21,False
2014-12-21,18,False
2014-12-28,22,False
2015-01-04,30,False
2015-01-11,29,False
2015-01-18,30,False
2015-01-25,29,False
2015-02-01,26,False
2015-02-08,23,False
2015-02-15,26,False
2015-02-22,26,False
2015-03-01,29,False
2015-03-08,30,False
2015-03-15,22,False
2015-03-22,24,False
2015-03-29,22,False
2015-04-05,25,False
2015-04-12,23,False
2015-04-19,20,False
2015-04-26,21,False
2015-05-03,19,False
2015-05-10,20,False
2015-05-17,20,False
2015-05-24,21,False
2015-05-31,20,False
2015-06-07,20,False
2015-06-14,20,False
2015-06-21,25,False
2015-06-28,24,False
2015-07-05,30,False
2015-07-12,25,False
2015-07-19,28,False
2015-07-26,26,False
2015-08-02,24,False
2015-08-09,24,False
2015-08-16,23,False
2015-08-23,24,False
2015-08-30,23,False
2015-09-06,21,False
2015-09-13,22,False
2015-09-20,20,False
2015-09-27,27,False
2015-10-04,20,False
2015-10-11,25,False
2015-10-18,22,False
2015-10-25,25,False
2015-11-01,27,False
2015-11-08,22,False
2015-11-15,26,False
2015-11-22,26,False
2015-11-29,31,False
2015-12-06,33,False
2015-12-13,35,False
2015-12-20,36,False
2015-12-27,41,False
2016-01-03,55,False
2016-01-10,49,False
2016-01-17,49,False
2016-01-24,43,False
2016-01-31,37,False
2016-02-07,30,False
2016-02-14,37,False
2016-02-21,29,False
2016-02-28,30,False
2016-03-06,30,False
2016-03-13,30,False
2016-03-20,30,False
2016-03-27,31,False
2016-04-03,32,False
2016-04-10,33,False
2016-04-17,31,False
2016-04-24,33,False
2016-05-01,29,False
2016-05-08,32,False
2016-05-15,28,False
2016-05-22,29,False
2016-05-29,33,False
2016-06-05,38,False
2016-06-12,33,False
2016-06-19,32,False
2016-06-26,32,False
2016-07-03,37,False
2016-07-10,33,False
2016-07-17,37,False
2016-07-24,30,False
2016-07-31,28,False
2016-08-07,24,False
2016-08-14,27,False
2016-08-21,24,False
2016-08-28,24,False
2016-09-04,28,False
2016-09-11,24,False
2016-09-18,29,False
2016-09-25,25,False
2016-10-02,27,False
2016-10-09,32,False
2016-10-16,33,False
2016-10-23,33,False
2016-10-30,32,False
2016-11-06,24,False
2016-11-13,26,False
2016-11-20,29,False
2016-11-27,35,False
2016-12-04,36,False
2016-12-11,31,False
2016-12-18,31,False
2016-12-25,35,False
2017-01-01,39,False
2017-01-08,34,False
2017-01-15,37,False
2017-01-22,41,False
2017-01-29,40,False
2017-02-05,35,False
2017-02-12,36,False
2017-02-19,38,False
2017-02-26,35,False
2017-03-05,42,False
2017-03-12,36,False
2017-03-19,35,False
2017-03-26,34,False
2017-04-02,35,False
2017-04-09,34,False
2017-04-16,33,False
2017-04-23,30,False
2017-04-30,28,False
2017-05-07,27,False
2017-05-14,26,False
2017-05-21,26,False
2017-05-28,29,False
2017-06-04,24,False
2017-06-11,27,False
2017-06-18,26,False
2017-06-25,30,False
2017-07-02,31,False
2017-07-09,34,False
2017-07-16,30,False
2017-07-23,37,False
2017-07-30,35,False
2017-08-06,30,False
2017-08-13,31,False
2017-08-20,31,False
2017-08-27,33,False
2017-09-03,32,False
2017-09-10,34,False
2017-09-17,29,False
2017-09-24,29,False
2017-10-01,29,False
2017-10-08,32,False
2017-10-15,33,False
2017-10-22,33,False
2017-10-29,31,False
2017-11-05,32,False
2017-11-12,32,False
2017-11-19,33,False
2017-11-26,38,False
2017-12-03,42,False
2017-12-10,44,False
2017-12-17,47,False
2017-12-24,59,False
2017-12-31,66,False
2018-01-07,76,False
2018-01-14,88,False
2018-01-21,84,False
2018-01-28,80,False
2018-02-04,66,False
2018-02-11,62,False
2018-02-18,63,False
2018-02-25,58,False
