date,unemployment florida,isPartial
2016-01-03,82,False
2016-01-10,73,False
2016-01-17,81,False
2016-01-24,80,False
2016-01-31,77,False
2016-02-07,63,False
2016-02-14,70,False
2016-02-21,69,False
2016-02-28,60,False
2016-03-06,64,False
2016-03-13,66,False
2016-03-20,67,False
2016-03-27,60,False
2016-04-03,67,False
2016-04-10,59,False
2016-04-17,65,False
2016-04-24,62,False
2016-05-01,66,False
2016-05-08,72,False
2016-05-15,67,False
2016-05-22,75,False
2016-05-29,68,False
2016-06-05,82,False
2016-06-12,78,False
2016-06-19,70,False
2016-06-26,78,False
2016-07-03,70,False
2016-07-10,74,False
2016-07-17,76,False
2016-07-24,69,False
2016-07-31,68,False
2016-08-07,69,False
2016-08-14,62,False
2016-08-21,68,False
2016-08-28,66,False
2016-09-04,59,False
2016-09-11,59,False
2016-09-18,70,False
2016-09-25,67,False
2016-10-02,48,False
2016-10-09,63,False
2016-10-16,61,False
2016-10-23,66,False
2016-10-30,62,False
2016-11-06,51,False
2016-11-13,53,False
2016-11-20,45,False
2016-11-27,64,False
2016-12-04,59,False
2016-12-11,56,False
2016-12-18,53,False
2016-12-25,53,False
2017-01-01,62,False
2017-01-08,67,False
2017-01-15,60,False
2017-01-22,68,False
2017-01-29,73,False
2017-02-05,69,False
2017-02-12,61,False
2017-02-19,52,False
2017-02-26,54,False
2017-03-05,59,False
2017-03-12,53,False
2017-03-19,56,False
2017-03-26,56,False
2017-04-02,61,False
2017-04-09,56,False
2017-04-16,62,False
2017-04-23,56,False
2017-04-30,56,False
2017-05-07,54,False
2017-05-14,58,False
2017-05-21,64,False
2017-05-28,58,False
2017-06-04,62,False
2017-06-11,64,False
2017-06-18,72,False
2017-06-25,65,False
2017-07-02,64,False
2017-07-09,70,False
2017-07-16,65,False
2017-07-23,72,False
2017-07-30,64,False
2017-08-06,65,False
2017-08-13,67,False
2017-08-20,59,False
2017-08-27,56,False
2017-09-03,49,False
2017-09-10,68,False
2017-09-17,100,False
2017-09-24,92,False
2017-10-01,85,False
2017-10-08,81,False
2017-10-15,79,False
2017-10-22,68,False
2017-10-29,64,False
2017-11-05,59,False
2017-11-12,64,False
2017-11-19,48,False
2017-11-26,59,False
2017-12-03,60,False
2017-12-10,55,False
2017-12-17,58,False
2017-12-24,51,False
2017-12-31,71,False
2018-01-07,68,False
2018-01-14,65,False
2018-01-21,56,False
2018-01-28,67,False
2018-02-04,59,False
2018-02-11,51,False
2018-02-18,50,False
2018-02-25,48,False
2018-03-04,52,False
2018-03-11,46,False
2018-03-18,47,False
2018-03-25,44,False
2018-04-01,45,False
2018-04-08,46,False
2018-04-15,49,False
2018-04-22,53,False
2018-04-29,48,False
2018-05-06,48,False
2018-05-13,43,False
2018-05-20,49,False
2018-05-27,49,False
2018-06-03,63,False
2018-06-10,56,False
2018-06-17,57,False
2018-06-24,56,False
2018-07-01,57,False
2018-07-08,68,False
2018-07-15,62,False
2018-07-22,58,False
2018-07-29,62,False
2018-08-05,55,False
2018-08-12,54,False
2018-08-19,54,False
2018-08-26,52,False
2018-09-02,43,False
2018-09-09,50,False
2018-09-16,51,False
2018-09-23,47,False
2018-09-30,52,False
2018-10-07,48,False
2018-10-14,48,False
2018-10-21,54,False
2018-10-28,49,False
2018-11-04,49,False
2018-11-11,48,False
2018-11-18,36,False
2018-11-25,48,False
2018-12-02,39,False
2018-12-09,48,False
2018-12-16,44,False
2018-12-23,41,False
2018-12-30,45,False
2019-01-06,53,False
2019-01-13,59,False
2019-01-20,50,False
2019-01-27,55,False
2019-02-03,45,False
2019-02-10,44,False
2019-02-17,41,False
2019-02-24,42,False
2019-03-03,35,False
2019-03-10,39,False
2019-03-17,37,False
2019-03-24,39,False
2019-03-31,38,False
2019-04-07,38,False
2019-04-14,44,False
2019-04-21,48,False
2019-04-28,43,False
2019-05-05,42,False
2019-05-12,44,False
2019-05-19,44,False
2019-05-26,44,False
2019-06-02,45,False
2019-06-09,53,False
2019-06-16,49,False
2019-06-23,50,False
2019-06-30,49,False
2019-07-07,48,False
2019-07-14,45,False
2019-07-21,48,False
2019-07-28,51,False
2019-08-04,54,False
2019-08-11,48,False
2019-08-18,49,False
2019-08-25,40,False
2019-09-01,46,False
2019-09-08,47,False
2019-09-15,42,False
2019-09-22,45,False
2019-09-29,51,False
2019-10-06,46,False
2019-10-13,40,False
2019-10-20,41,False
2019-10-27,46,False
2019-11-03,39,False
2019-11-10,41,False
2019-11-17,45,False
2019-11-24,30,False
2019-12-01,39,False
2019-12-08,35,False
2019-12-15,37,False
2019-12-22,32,False
